symbol,socialScore,governanceScore,environmentScore,totalEsg,esgPerformance,percentile,peerGroup,highestControversy
MMM,14.0,8.45,12.79,35.24,OUT_PERF,74.53,Industrial Conglomerates,3
AOS,14.92,8.12,9.53,32.56,OUT_PERF,66.28,Machinery,2
ABT,16.21,10.65,2.98,29.85,AVG_PERF,56.59,Healthcare,3
ABBV,17.09,11.33,0.65,29.07,AVG_PERF,53.8,Pharmaceuticals,3
ACN,4.98,5.78,0.55,11.31,UNDER_PERF,2.51,Software & Services,2
ATVI,10.66,6.22,0.15,17.04,UNDER_PERF,12.54,Software & Services,2
ADBE,5.65,4.74,0.48,10.88,UNDER_PERF,2.24,Software & Services,1
AAP,8.67,3.33,0.1,12.1,UNDER_PERF,3.29,Retailing,2
AES,8.31,5.84,20.82,34.97,OUT_PERF,73.76,Utilities,2
AFL,7.86,12.94,2.46,23.26,AVG_PERF,32.2,Insurance,2
A,9.44,6.26,0.87,16.57,UNDER_PERF,11.4,Pharmaceuticals,2
APD,1.43,3.65,6.06,11.15,UNDER_PERF,2.39,Chemicals,1
AKAM,11.8,7.53,2.02,21.35,AVG_PERF,25.65,Software & Services,1
ALB,8.91,8.74,19.09,36.74,OUT_PERF,78.65,Chemicals,1
ARE,6.27,5.86,2.98,15.1,UNDER_PERF,8.23,Real Estate,0
ALXN,11.97,6.81,0.12,18.9,UNDER_PERF,17.67,Pharmaceuticals,2
ALLE,4.23,6.55,11.06,21.83,AVG_PERF,27.37,Building Products,0
LNT,7.38,6.3,14.68,28.37,AVG_PERF,51.11,Utilities,2
ALL,8.71,12.68,1.62,23.01,AVG_PERF,31.35,Insurance,2
GOOGL,9.87,11.94,0.48,22.29,AVG_PERF,28.96,Software & Services,4
MO,13.02,6.54,5.81,25.36,AVG_PERF,40.26,Food Products,3
AMZN,12.52,9.78,5.13,27.42,AVG_PERF,47.67,Retailing,3
AEE,12.19,6.4,15.52,34.12,OUT_PERF,71.3,Utilities,2
AAL,12.65,5.58,11.7,29.93,AVG_PERF,57.02,Transportation,2
AEP,9.83,5.28,19.33,34.44,OUT_PERF,72.2,Utilities,2
AXP,9.93,9.82,0.05,19.79,UNDER_PERF,20.53,Diversified Financials,3
AIG,13.56,15.24,1.99,30.8,OUT_PERF,60.23,Insurance,2
AMT,3.78,4.96,3.73,12.48,UNDER_PERF,3.66,Real Estate,0
AWK,10.01,5.66,13.35,29.02,AVG_PERF,53.57,Utilities,2
AMP,10.66,12.84,2.3,25.8,AVG_PERF,41.75,Diversified Financials,2
ABC,5.51,5.72,1.21,12.43,UNDER_PERF,3.63,Healthcare,3
AME,9.95,7.71,8.32,25.98,AVG_PERF,42.57,Electrical Equipment,1
AMGN,12.78,6.3,0.03,19.11,UNDER_PERF,18.28,Pharmaceuticals,2
APH,6.02,7.7,10.02,23.74,AVG_PERF,34.13,Technology Hardware,2
ANSS,8.96,4.84,1.13,14.94,UNDER_PERF,7.89,Software & Services,0
ANTM,6.97,5.27,0.03,12.27,UNDER_PERF,3.45,Healthcare,2
APA,8.88,7.96,21.98,38.81,OUT_PERF,82.83,Oil & Gas Producers,2
AAPL,7.69,8.94,0.1,16.73,UNDER_PERF,11.77,Technology Hardware,3
AMAT,3.92,5.51,5.33,14.75,UNDER_PERF,7.56,Semiconductors,0
APTV,4.59,5.15,3.73,13.47,UNDER_PERF,4.98,Auto Components,1
ADM,13.51,4.8,15.91,34.23,OUT_PERF,71.64,Food Products,3
ANET,9.06,8.16,0.4,17.62,UNDER_PERF,14.04,Technology Hardware,2
AJG,11.67,12.73,0.14,24.54,AVG_PERF,37.15,Insurance,2
AIZ,10.65,13.25,1.26,25.15,AVG_PERF,39.42,Insurance,3
T,10.9,6.32,1.85,19.07,UNDER_PERF,18.13,Telecommunication Services,3
ATO,12.06,6.82,12.8,31.68,OUT_PERF,63.37,Utilities,2
ADSK,9.22,4.76,1.37,15.34,UNDER_PERF,8.65,Software & Services,0
ADP,7.07,5.44,0.07,12.58,UNDER_PERF,3.84,Software & Services,1
AZO,8.12,3.85,0.09,12.07,UNDER_PERF,3.26,Retailing,2
AVB,2.87,5.26,3.41,11.53,UNDER_PERF,2.73,Real Estate,0
AVY,1.93,4.08,12.26,18.27,UNDER_PERF,15.96,Containers & Packaging,1
BLL,1.27,4.09,8.44,13.8,UNDER_PERF,5.63,Containers & Packaging,1
BAC,13.93,10.74,1.62,26.29,AVG_PERF,43.83,Banks,3
BAX,16.22,9.28,2.49,27.99,AVG_PERF,49.8,Healthcare,3
BDX,15.69,9.5,3.37,28.57,AVG_PERF,51.85,Healthcare,3
BBY,5.17,4.68,2.12,11.97,UNDER_PERF,3.17,Retailing,2
BIO,12.3,7.25,1.53,21.07,AVG_PERF,24.75,Pharmaceuticals,2
BIIB,14.99,7.49,0.02,22.49,AVG_PERF,29.64,Pharmaceuticals,2
BLK,10.43,10.89,1.47,22.8,AVG_PERF,30.64,Diversified Financials,2
BA,19.66,8.81,7.79,36.25,OUT_PERF,77.04,Aerospace & Defense,4
BKNG,9.68,6.33,3.88,19.89,UNDER_PERF,20.81,Retailing,2
BWA,10.84,7.26,5.66,23.76,AVG_PERF,34.24,Auto Components,2
BXP,5.09,5.01,3.82,13.91,UNDER_PERF,5.88,Real Estate,1
BSX,16.37,11.37,2.99,30.73,OUT_PERF,59.96,Healthcare,3
BMY,15.2,7.4,0.03,22.63,AVG_PERF,30.06,Pharmaceuticals,2
AVGO,8.66,7.93,8.96,25.54,AVG_PERF,40.9,Semiconductors,3
BR,8.38,6.62,0.03,15.03,UNDER_PERF,8.09,Software & Services,2
CHRW,13.08,6.28,6.38,25.74,AVG_PERF,41.5,Transportation,1
COG,15.58,9.83,24.58,49.98,LEAD_PERF,96.39,Oil & Gas Producers,2
CDNS,10.48,5.4,1.16,17.04,UNDER_PERF,12.51,Software & Services,0
CPB,7.79,4.88,9.34,22.0,AVG_PERF,27.96,Food Products,2
COF,13.46,9.63,0.06,23.15,AVG_PERF,31.88,Diversified Financials,4
CAH,5.37,4.44,2.75,12.56,UNDER_PERF,3.82,Healthcare,3
KMX,8.9,4.1,0.12,13.12,UNDER_PERF,4.5,Retailing,2
CCL,9.17,3.86,8.42,21.44,AVG_PERF,26.01,Consumer Services,3
CAT,19.63,8.89,10.72,39.25,OUT_PERF,83.62,Machinery,4
CBOE,7.19,8.96,2.56,18.65,UNDER_PERF,17.06,Diversified Financials,2
CBRE,2.75,3.58,2.34,8.67,LAG_PERF,1.36,Real Estate,1
CDW,3.45,3.76,3.62,10.84,UNDER_PERF,2.2,Technology Hardware,0
CE,7.71,7.31,14.86,29.87,,56.71,Chemicals,2
CNC,15.92,6.66,0.14,22.72,,30.36,Healthcare,2
CNP,11.93,5.88,17.85,35.65,LEAD_PERF,75.56,Utilities,2
CERN,12.89,6.84,0.14,19.87,LAG_PERF,20.76,Healthcare,2
CF,9.2,5.14,18.62,32.96,LEAD_PERF,67.64,Chemicals,2
SCHW,10.61,12.56,2.11,25.27,,39.9,Diversified Financials,2
CHTR,10.27,8.18,1.92,20.38,,22.6,Media,2
CVX,11.98,9.98,18.34,40.29,,85.26,Oil & Gas Producers,3
CMG,14.78,5.77,3.78,24.33,,36.32,Consumer Services,3
CB,11.23,10.74,1.62,23.59,,33.48,Insurance,2
CHD,8.28,7.18,7.28,22.75,,30.46,Household Products,2
CI,5.99,5.65,0.02,11.65,LAG_PERF,2.83,Healthcare,2
CINF,9.41,14.99,1.71,26.1,,43.19,Insurance,1
CTAS,12.45,7.61,5.44,25.49,,40.73,Commercial Services,2
CSCO,5.94,6.08,0.54,12.55,LAG_PERF,3.81,Technology Hardware,2
C,11.43,13.43,1.47,26.34,,43.97,Banks,4
CFG,13.07,11.41,1.87,26.34,,44.01,Banks,2
CTXS,11.25,5.71,1.16,18.11,LAG_PERF,15.51,Software & Services,2
CME,6.64,5.97,1.91,14.52,LAG_PERF,7.15,Diversified Financials,1
CMS,9.07,5.37,13.42,27.87,,49.32,Utilities,2
KO,10.81,5.07,9.2,25.08,,39.08,Food Products,3
CTSH,12.81,7.85,1.04,21.7,,26.91,Software & Services,2
CL,9.37,5.96,6.79,22.12,,28.29,Household Products,3
CMCSA,9.3,8.92,1.22,19.43,LAG_PERF,19.4,Media,2
CMA,13.13,12.05,1.69,26.87,,45.87,Banks,2
CAG,16.32,5.12,10.49,31.93,LEAD_PERF,64.3,Food Products,2
COP,9.83,6.99,18.58,35.39,LEAD_PERF,74.89,Oil & Gas Producers,2
ED,13.51,6.64,5.04,25.18,,39.52,Utilities,3
STZ,9.34,4.97,8.98,23.29,,32.32,Food Products,2
CPRT,11.76,7.12,4.13,23.01,,31.31,Commercial Services,1
GLW,5.2,6.89,7.91,20.0,LAG_PERF,21.18,Technology Hardware,2
COST,10.94,6.11,5.32,22.37,,29.22,Food Retailers,3
CCI,4.19,5.26,8.91,18.36,LAG_PERF,16.21,Real Estate,0
CSX,9.38,3.61,5.31,18.31,LAG_PERF,16.07,Transportation,3
CMI,8.17,5.95,3.72,17.83,LAG_PERF,14.76,Machinery,2
CVS,13.07,4.77,3.13,20.97,,24.44,Food Retailers,3
DHI,7.42,6.1,7.97,21.5,,26.21,Homebuilders,2
DHR,18.08,9.86,4.74,32.69,LEAD_PERF,66.68,Healthcare,2
DRI,11.85,4.42,5.93,22.2,,28.66,Consumer Services,2
DVA,12.53,8.79,0.09,21.4,,25.86,Healthcare,2
DE,9.56,3.95,4.39,17.89,LAG_PERF,14.97,Machinery,2
DAL,11.64,4.6,8.18,24.41,,36.59,Transportation,2
XRAY,10.42,6.51,3.15,20.07,,21.46,Healthcare,1
DVN,8.68,7.51,17.7,33.89,LEAD_PERF,70.67,Oil & Gas Producers,2
DXCM,13.04,8.2,5.93,27.18,,46.9,Healthcare,2
DLR,5.38,5.37,3.41,14.15,LAG_PERF,6.33,Real Estate,1
DFS,13.64,9.82,0.11,23.56,,33.35,Diversified Financials,1
DISCA,9.13,9.12,0.16,18.41,LAG_PERF,16.37,Media,1
DISH,11.34,9.16,1.72,22.22,,28.77,Media,3
DG,8.49,5.08,3.25,16.82,LAG_PERF,11.98,Retailing,2
DLTR,8.54,5.91,3.4,17.85,LAG_PERF,14.81,Retailing,2
D,8.96,6.2,13.97,29.13,,54.01,Utilities,2
DPZ,14.75,6.59,5.42,26.76,,45.52,Consumer Services,2
DOV,14.14,6.41,7.79,28.35,,51.0,Machinery,1
DTE,9.4,6.2,15.54,31.14,LEAD_PERF,61.39,Utilities,2
DUK,11.57,5.78,15.61,32.96,LEAD_PERF,67.65,Utilities,3
DRE,3.92,4.56,4.61,13.09,LAG_PERF,4.43,Real Estate,0
DD,9.13,7.39,13.89,30.41,LEAD_PERF,58.79,Chemicals,3
DXC,7.16,5.17,1.16,13.48,LAG_PERF,5.0,Software & Services,2
EMN,5.34,7.05,11.42,23.81,,34.45,Chemicals,2
ETN,6.63,5.72,4.66,17.01,LAG_PERF,12.46,Electrical Equipment,1
EBAY,11.76,8.01,1.62,21.39,,25.77,Software & Services,2
ECL,8.64,6.59,10.58,25.82,,41.9,Chemicals,2
EIX,11.85,5.8,11.22,28.88,,53.15,Utilities,3
EW,8.97,7.43,2.63,19.04,LAG_PERF,17.98,Healthcare,2
EA,7.25,5.32,0.13,12.7,LAG_PERF,3.96,Software & Services,2
EMR,14.25,6.87,9.23,30.34,LEAD_PERF,58.58,Machinery,2
ETR,8.48,6.32,18.69,33.48,LEAD_PERF,69.31,Utilities,2
EOG,11.06,8.24,19.67,38.97,LEAD_PERF,83.07,Oil & Gas Producers,1
EFX,17.29,7.08,0.14,24.51,,36.97,Commercial Services,4
EQIX,5.35,5.48,5.37,16.21,LAG_PERF,10.44,Real Estate,1
EQR,4.35,4.85,4.78,13.99,LAG_PERF,6.02,Real Estate,1
ESS,5.15,6.41,4.41,15.97,LAG_PERF,9.94,Real Estate,1
EL,9.32,8.05,6.9,24.28,,36.07,Household Products,2
RE,7.04,10.16,0.96,18.16,LAG_PERF,15.64,Insurance,1
ES,10.34,6.25,6.38,22.97,,31.18,Utilities,2
EXC,8.86,6.53,8.75,24.15,,35.6,Utilities,3
EXPE,11.06,8.43,4.06,23.55,,33.28,Retailing,2
EXPD,9.23,4.73,4.05,18.02,LAG_PERF,15.26,Transportation,0
EXR,4.14,5.78,4.0,13.92,LAG_PERF,5.9,Real Estate,1
XOM,10.57,8.24,16.29,35.11,LEAD_PERF,74.21,Oil & Gas Producers,2
FFIV,11.46,5.32,1.17,17.95,LAG_PERF,15.11,Software & Services,0
FB,17.93,12.28,1.4,31.61,LEAD_PERF,63.13,Software & Services,4
FAST,8.66,7.71,8.91,25.27,,39.91,Traders & Distributors,2
FRT,4.51,6.14,2.22,12.86,LAG_PERF,4.13,Real Estate,1
FDX,10.02,5.99,5.25,21.26,,25.34,Transportation,3
FIS,11.68,6.8,0.11,18.58,LAG_PERF,16.89,Software & Services,1
FITB,13.23,10.44,2.22,25.89,,42.17,Banks,2
FRC,10.96,11.77,1.91,24.64,,37.42,Banks,1
FE,9.83,7.29,17.39,34.51,LEAD_PERF,72.37,Utilities,3
FISV,12.1,7.28,0.15,19.53,LAG_PERF,19.73,Software & Services,2
FLT,11.23,7.17,0.14,18.54,LAG_PERF,16.76,Software & Services,2
FLS,19.01,7.5,11.6,38.11,LEAD_PERF,81.42,Machinery,2
FMC,13.54,7.35,17.86,38.75,LEAD_PERF,82.73,Chemicals,2
F,12.18,9.61,9.68,31.47,LEAD_PERF,62.59,Automobiles,3
FTNT,13.93,6.19,1.36,21.48,,26.14,Software & Services,2
FTV,14.18,5.53,15.45,35.17,LEAD_PERF,74.32,Industrial Conglomerates,2
FBHS,3.66,7.35,13.9,24.92,,38.41,Building Products,0
BEN,10.5,8.13,1.11,19.74,LAG_PERF,20.39,Diversified Financials,2
FCX,12.06,5.29,16.71,34.06,LEAD_PERF,71.16,Diversified Metals,4
GPS,6.58,5.72,1.11,13.41,LAG_PERF,4.92,Retailing,3
GRMN,8.84,4.82,5.87,19.53,LAG_PERF,19.72,Consumer Durables,2
IT,17.12,6.43,0.11,23.66,,33.82,Commercial Services,1
GD,20.19,7.56,9.86,37.61,LEAD_PERF,80.46,Aerospace & Defense,3
GE,15.72,11.49,15.44,42.65,,89.12,Industrial Conglomerates,3
GIS,9.04,4.15,7.89,21.09,,24.8,Food Products,2
GM,12.68,7.94,9.95,30.57,LEAD_PERF,59.43,Automobiles,4
GPC,5.07,3.88,3.68,12.64,LAG_PERF,3.89,Retailing,2
GILD,14.66,8.17,0.03,22.86,,30.88,Pharmaceuticals,2
GPN,10.95,7.4,0.16,18.51,LAG_PERF,16.64,Software & Services,2
GL,8.61,12.27,2.09,22.98,,31.2,Insurance,1
GS,14.17,12.98,0.75,27.9,,49.44,Diversified Financials,3
GWW,5.57,6.05,3.16,14.78,LAG_PERF,7.6,Traders & Distributors,1
HAL,8.57,7.73,9.67,25.97,,42.48,Energy Services,2
HBI,7.38,5.83,1.33,14.54,LAG_PERF,7.19,Textiles & Apparel,2
HIG,7.45,9.64,1.65,18.74,LAG_PERF,17.31,Insurance,2
HAS,6.5,5.74,0.05,12.29,LAG_PERF,3.49,Consumer Durables,2
HCA,15.86,7.44,3.29,26.6,,44.86,Healthcare,2
PEAK,3.03,4.31,3.34,10.69,LAG_PERF,2.12,Real Estate,2
HSIC,5.68,5.68,3.65,15.01,LAG_PERF,8.02,Healthcare,2
HES,6.33,7.38,15.55,29.26,,54.41,Oil & Gas Producers,2
HPE,9.93,6.72,0.69,17.34,LAG_PERF,13.25,Technology Hardware,2
HLT,8.13,3.54,8.11,19.78,LAG_PERF,20.5,Consumer Services,2
HFC,7.97,5.06,20.54,33.57,LEAD_PERF,69.61,Refiners & Pipelines,1
