symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax
MMM,55144-1000,Industrials,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],http://www.3m.com,1,3M Center,Specialty Industrial Machinery,181.18,182.37,170.50044,0.032453917,0.6357,,185.38,,2512828,,181.18,177.3497,5.88,182.37,2512828,,,,5.92,1613001600.0,0.947453,,,181.41,2,USD,19.947027,2335597,,,,106849746944,,,2698138,3.3199646,181.41,184.6,,900,2335597,187.27,17.741346,,2.84,114.04,184.51,False,0.0327,1000,185.38,NYQ,3M Company,3M Company,America/New_York,EST,True,-18000000,,EQUITY,,,finmb_289194,375388b3-dab7-3763-90cd-457ad19388a2,us_market,,3.72,,0.16729,13.327,,,10.4,,577750016.0,,,22.271,9256221.0,0.016,,1609372800.0,0.66533,5384000000.0,9.25,,,8.284764,0.00189,1672444800.0,1609372800.0,3.28,1611878400.0,578439826.0,119715340288.0,,1064880000.0,2:1,,,0.433,1614297600.0,2.52,,0.016,7788314.0,,,182.37,https://logo.clearbit.com/3m.com,,
AOS,53224-9508,Industrials,13900.0,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; residential and commercial boilers for space heating applications in hospitals, schools, hotels, and other commercial buildings; and water treatment products, including on-the-go filtration bottles, point-of-use carbon and reverse osmosis products, point-of-entry water softeners, and whole-home water filtration products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, combi-boilers, solar tank units, and air purification products. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. The company was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 359 4000,WI,United States,[],http://www.aosmith.com,1,11270 West Park Place,Specialty Industrial Machinery,63.39,63.51,55.407646,0.015459852,0.4623,,65.34,,1469071,,63.39,59.382057,0.98,63.51,1469071,,,,1.04,1611792000.0,1.044962,,,63.26,2,USD,30.65566,997343,,,,12385598464,,,1189798,4.2778287,63.26,65.05,,1000,997343,65.34,23.462093,,1.42,33.81,65.02,False,0.0164,1300,65.34,NYQ,A.O. Smith Corporation,A. O. Smith Corporation,America/New_York,EST,True,-18000000,,EQUITY,,,finmb_997111,4cc854cc-0565-35cc-abef-bc91f30d07b0,us_market,,3.359,,0.119119994,18.651,,,2.77,,164543008.0,,,11.425,4164315.0,0.0219,,1609372800.0,0.96533996,344900000.0,2.12,,,5.688402,0.00926,1672444800.0,1609372800.0,3.03,1611878400.0,133148277.0,9724466176.0,,1475712000.0,2:1,,,0.314,1614297600.0,2.86,,0.028099999,4964517.0,,,63.51,https://logo.clearbit.com/aosmith.com,Suite 170 PO Box 245008,
ABT,60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1,100 Abbott Park Road,Medical Devices,116.7,117.24,111.23544,0.01311054,0.5783,,119.2,,4952428,,116.7,120.69088,1.53,117.24,4952428,,,,1.8,1618358400.0,0.723185,,,115.32,2,USD,46.296444,7197329,,,,205284884480,,,4984786,5.9317174,115.32,115.9,,800,7197329,128.54,21.659813,,1.82,61.61,115.88,False,0.0154,2200,119.2,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,True,-18000000,,EQUITY,,,finmb_247483,5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf,us_market,,6.348,,0.12988,24.741,,,5.35,,1771529984.0,,,18.509,9794067.0,0.0055,,1609372800.0,0.75579,4448999936.0,2.503,,,6.2607374,0.00693,1672444800.0,1609372800.0,1.76,1611878400.0,1758189742.0,219698479104.0,,1357084800.0,10000:4798,,,1.061,1614297600.0,1.41,,0.0057,11521609.0,,,117.24,https://logo.clearbit.com/abbott.com,Abbott Park,
ABBV,60064-6400,Healthcare,47000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,106.79,107.39,98.677055,0.045322597,1.7353,,108.36,,6441000,,106.79,106.613235,4.84,107.39,6441000,,,,5.2,1618358400.0,0.809859,,,107.05,2,USD,39.705883,5357830,,,,190715052032,,,7231376,4.1637206,107.05,108.09,,1400,5357830,113.41,7.826087,,4.15,62.55,107.92,False,0.048699997,1000,108.36,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,True,-18000000,,EQUITY,,,finmb_141885706,73238d42-cdcc-3f92-8141-dd675addae10,us_market,,5.834,,0.10078,12.053,,,13.8,,1765469952.0,,,7.408,15429290.0,0.0087,,1609372800.0,0.70001,4556000256.0,2.72,,,14.578834,0.001,1672444800.0,1609372800.0,2.0,1611878400.0,1737609924.0,267210506240.0,,,,,,-0.987,1614297600.0,1.9,,0.0087,14874548.0,,,107.39,https://logo.clearbit.com/abbvie.com,,
ABMD,01923,Healthcare,1536.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,296.8,297.56,294.1961,,0.0,,305.45,,298328,,296.8,326.56854,,297.56,298328,,,,,,1.375406,,,295.74,2,USD,67.5359,256434,,,,13401040896,,,349055,16.484764,295.74,296.57,,1000,256434,387.4,60.21951,,,119.01,296.25,False,,1000,305.45,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EST,False,-18000000,,EQUITY,,,finmb_247589,a393224e-40ae-3cd2-a2c8-12a0912a9351,us_market,,15.929,,0.2466,51.681,,,4.92,,45231000.0,,,27.893,1301662.0,0.028800001,,1585612800.0,0.97471,200467008.0,4.387,,,10.62202,0.02333,1648684800.0,1609372800.0,3.35,1611878400.0,44246740.0,12948968448.0,,970444800.0,2:1,,,-0.106,1614297600.0,3.87,,0.033,1503031.0,,,297.56,https://logo.clearbit.com/abiomed.com,,978 777 8411
ACN,2,Technology,514000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,254.37,256.29,243.75397,0.013209105,0.4039,,258.235,,2511471,,254.37,253.78647,3.36,256.29,2511471,,,,3.52,1610496000.0,1.122968,,,254.685,2,USD,31.6519,2045992,,,,170004250624,,,2041388,3.8006537,254.685,260.36,,800,2045992,271.18,28.350609,,1.65,137.15,251.92,False,0.0138,900,258.235,NYQ,Accenture plc,Accenture plc,America/New_York,EST,True,-18000000,,EQUITY,,,finmb_972190,64bf532c-0542-3794-9f22-7d6062a2458b,us_market,,3.501,,0.11739001,21.136,,,9.07,,661134976.0,,,28.261,4553656.0,0.0069,,1598832000.0,0.74383,5251146752.0,8.124,,,9.098759,0.0008,1661904000.0,1606694400.0,2.5,1611878400.0,633208981.0,156602155008.0,,1325203200.0,10:1,,,0.106,1614297600.0,3.21,,0.0069,4607626.0,,,256.29,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020
ATVI,90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],http://www.activisionblizzard.com,1,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,92.5,93.26,85.65963,0.0050810813,0.1454,,93.68,,5938100,,92.5,96.14206,0.47,93.26,5938100,,,,0.47,1618358400.0,0.659804,,,91.09,2,USD,32.379433,4283640,,,,70742786048,,,5969659,8.748798,91.09,91.98,,900,4283640,104.53,21.43427,,0.59,50.51,91.31,False,0.0050999997,2900,93.68,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EST,True,-18000000,,EQUITY,,,finmb_4222231,c564fea5-667a-32d7-929a-597b64dca83b,us_market,,8.255,,0.2717,22.066,,,4.26,,774753984.0,,,19.422,8893982.0,0.0115,,1609372800.0,0.89980006,2196999936.0,2.82,,,4.7013693,0.012150001,1672444800.0,1609372800.0,1.42,1611878400.0,765255481.0,66748743680.0,,1220832000.0,2:1,,,-0.03,1614297600.0,1.46,,0.0116,8145241.0,,,93.26,https://logo.clearbit.com/activisionblizzard.com,,
ADBE,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,439.18,445.7277,480.92258,,0.0,,448.46,,3468257,,439.18,472.3665,,445.7277,3468257,,,,,1111622400.0,0.964247,,,436.82,2,USD,40.351803,2747267,,,,209470259200,,,2672894,16.278385,436.82,437.01,,1000,2747267,536.88,32.93218,,,255.13,437.01,False,,1100,448.46,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EST,True,-18000000,,EQUITY,,,finmb_24321,bccf427f-30a1-3360-9ce4-c77a8198c902,us_market,,16.238,,0.40877,43.459,,,13.27,,479326016.0,,,27.691,4781814.0,0.01,,1606435200.0,0.86103,5260000256.0,10.83,,,15.781662,0.00311,1669507200.0,1606435200.0,1.95,1611878400.0,477115503.0,208951459840.0,,1116892800.0,2:1,,,1.644,1614297600.0,2.43,,0.01,4914798.0,,,445.7277,https://logo.clearbit.com/adobe.com,,408 537 6000
AAP,27604,Consumer Cyclical,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1,2635 East Millbrook Road,Specialty Retail,173.05,173.99,156.90309,0.0057786764,0.1401,,177.24,,938800,,173.05,161.16176,1.0,173.99,938800,,,,1.0,1616025600.0,1.330985,,,171.11,2,USD,24.69748,1014613,,,,11554572288,,,1057947,1.1433015,171.11,181.38,,1000,1014613,178.36,15.886486,,0.24,71.33,176.84,False,0.0058,1100,177.24,NYQ,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",America/New_York,EST,True,-18000000,,EQUITY,,,finmb_24333,e77e78f9-7896-3fa1-acee-885058f2c91a,us_market,,1.377,,0.048779998,13.258,,,11.1,,65524400.0,,,54.079,3750563.0,0.0572,,1609545600.0,1.02282,493020992.0,7.14,,,3.260785,0.0037099998,1672617600.0,1609545600.0,2.97,1611878400.0,64782968.0,13920632832.0,,1127692800.0,3:2,,,0.168,1614297600.0,1.21,,0.0677,3913296.0,,,173.99,https://logo.clearbit.com/advanceautoparts.com,,
AMD,95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1,2485 Augustine Drive,Semiconductors,78.53,79.75,86.03507,,0.0,,80.04,,47028257,,78.53,87.32235,,79.75,47028257,,,,,798940800.0,2.184182,,,77.4116,2,USD,37.55814,45416616,,,,93901529088,,,43275284,9.618102,77.4116,77.48,,900,45416616,99.23,30.640316,,,36.75,77.6,False,,1400,80.04,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EST,False,-18000000,,EQUITY,,,finmb_168864,48af4341-f745-363f-945f-a838eeabb062,us_market,,9.567,,0.25504,55.564,,,2.53,,1211320064.0,,,4.82,79247010.0,0.0654,,1608940800.0,0.73875,2489999872.0,2.064,,,16.082987,0.0062,1672012800.0,1608940800.0,1.88,1611878400.0,1204508954.0,93403815936.0,,966902400.0,2:1,,,9.476,1614297600.0,1.73,,0.065799996,78642593.0,,,79.75,https://logo.clearbit.com/amd.com,,
